language	book	k	kmer	count	frequency
dutch	camera_obscura	3	ATT	491	0.0013494497762826644
dutch	camera_obscura	3	NTR	87	0.00023910820883216253
dutch	camera_obscura	3	TRY	56	0.00015390873212185174
dutch	camera_obscura	3	RYL	15	4.122555324692458e-05
dutch	camera_obscura	3	YLI	36	9.894132779261898e-05
dutch	camera_obscura	3	FEP	2	5.4967404329232765e-06
dutch	camera_obscura	3	EPR	60	0.0001649022129876983
dutch	camera_obscura	3	PRE	152	0.00041775227290216904
dutch	camera_obscura	3	ESS	656	0.0018029308619988346
dutch	camera_obscura	3	SSG	4	1.0993480865846553e-05
dutch	camera_obscura	3	SGA	21	5.7715774545694406e-05
dutch	camera_obscura	3	GAR	26	7.14576256280026e-05
dutch	camera_obscura	3	ARD	371	0.0010196453503072678
dutch	camera_obscura	3	RDE	60	0.0001649022129876983
dutch	camera_obscura	3	DEN	268	0.000736563218011719
dutch	camera_obscura	3	ENC	219	0.0006018930774050988
dutch	camera_obscura	3	NCI	37	0.00010168969800908061
dutch	camera_obscura	3	CIT	40	0.00010993480865846553
dutch	camera_obscura	3	ITY	85	0.00023361146839923926
dutch	camera_obscura	3	TYN	6	1.649022129876983e-05
dutch	camera_obscura	3	YNY	1	2.7483702164616382e-06
dutch	camera_obscura	3	NYC	5	1.3741851082308191e-05
dutch	camera_obscura	3	YCO	44	0.00012092828952431208
dutch	camera_obscura	3	BYE	3	8.245110649384915e-06
dutch	camera_obscura	3	YEV	6	1.649022129876983e-05
dutch	camera_obscura	3	EVE	412	0.001132328529182195
dutch	camera_obscura	3	ERY	169	0.00046447456658201686
dutch	camera_obscura	3	RYW	30	8.245110649384915e-05
dutch	camera_obscura	3	YWE	131	0.0003600364983564746
dutch	camera_obscura	3	WEE	117	0.0003215593153260117
dutch	camera_obscura	3	EEK	76	0.00020887613645108452
dutch	camera_obscura	3	EKC	4	1.0993480865846553e-05
dutch	camera_obscura	3	COR	28	7.695436606092587e-05
dutch	camera_obscura	3	RPO	23	6.321251497861768e-05
dutch	camera_obscura	3	POR	33	9.069621714323406e-05
dutch	camera_obscura	3	ORA	246	0.000676099073249563
dutch	camera_obscura	3	ONU	6	1.649022129876983e-05
dutch	camera_obscura	3	NUN	41	0.00011268317887492716
dutch	camera_obscura	3	ERT	512	0.0014071655508283588
dutch	camera_obscura	3	RTH	741	0.002036542330398074
dutch	camera_obscura	3	HET	578	0.001588557985114827
dutch	camera_obscura	3	TIT	253	0.0006953376647647945
dutch	camera_obscura	3	ITL	24	6.596088519507932e-05
dutch	camera_obscura	3	TLE	367	0.0010086518694414212
dutch	camera_obscura	3	LET	173	0.0004754680474478634
dutch	camera_obscura	3	HEG	359	0.000986664907709728
dutch	camera_obscura	3	EGI	215	0.0005908995965392522
dutch	camera_obscura	3	GIR	186	0.0005111968602618647
dutch	camera_obscura	3	IRL	214	0.0005881512263227906
dutch	camera_obscura	3	RLB	5	1.3741851082308191e-05
dutch	camera_obscura	3	LBE	38	0.00010443806822554226
dutch	camera_obscura	3	BEY	44	0.00012092828952431208
dutch	camera_obscura	3	EYO	156	0.0004287457537680156
dutch	camera_obscura	3	YON	83	0.00022811472796631596
dutch	camera_obscura	3	OND	233	0.0006403702604355617
dutch	camera_obscura	3	ETR	165	0.0004534810857161703
dutch	camera_obscura	3	RAI	261	0.0007173246264964876
dutch	camera_obscura	3	AIL	75	0.00020612776623462286
dutch	camera_obscura	3	ILT	67	0.00018414080450292975
dutch	camera_obscura	3	LTH	197	0.0005414289326429427
dutch	camera_obscura	3	NEC	51	0.00014016688103954354
dutch	camera_obscura	3	ECH	104	0.0002858305025120104
dutch	camera_obscura	3	CHA	260	0.0007145762562800259
dutch	camera_obscura	3	HAP	142	0.00039026857073755263
dutch	camera_obscura	3	APT	43	0.00011817991930785045
dutch	camera_obscura	3	PTE	42	0.00011543154909138881
dutch	camera_obscura	3	ERI	361	0.0009921616481426514
dutch	camera_obscura	3	RII	3	8.245110649384915e-06
dutch	camera_obscura	3	IIF	3	8.245110649384915e-06
dutch	camera_obscura	3	IFY	25	6.870925541154095e-05
dutch	camera_obscura	3	FYO	33	9.069621714323406e-05
dutch	camera_obscura	3	YOU	635	0.0017452150874531403
dutch	camera_obscura	3	OUH	33	9.069621714323406e-05
dutch	camera_obscura	3	UHA	25	6.870925541154095e-05
dutch	camera_obscura	3	HAD	1314	0.003611358464430593
